Date,Open,High,Low,Close
12/30/2018,110.229,110.474,109.558,109.6
12/27/2018,110.963,111.006,110.141,110.294
12/26/2018,111.337,111.337,110.452,110.983
12/25/2018,110.285,111.41,110.14,111.363
12/23/2018,110.943,111.193,110.27,110.431
12/20/2018,111.276,111.457,110.931,111.206
12/19/2018,112.475,112.604,110.813,111.286
12/18/2018,112.491,112.663,112.087,112.479
12/17/2018,112.825,112.853,112.249,112.522
12/16/2018,113.337,113.52,112.681,112.827
12/13/2018,113.592,113.672,113.202,113.4
12/12/2018,113.271,113.71,113.169,113.607
12/11/2018,113.36,113.522,113.143,113.272
12/10/2018,113.318,113.467,113.008,113.387
12/9/2018,112.599,113.367,112.241,113.316
12/6/2018,112.65,112.93,112.556,112.692
12/5/2018,113.188,113.196,112.234,112.675
12/4/2018,112.749,113.241,112.649,113.186
12/3/2018,113.639,113.655,112.577,112.785
12/2/2018,113.635,113.819,113.372,113.634
11/29/2018,113.477,113.717,113.309,113.541
11/28/2018,113.673,113.679,113.186,113.47
11/27/2018,113.765,114.033,113.439,113.683
11/26/2018,113.549,113.843,113.414,113.771
11/25/2018,112.902,113.65,112.876,113.6
11/22/2018,112.93,113.011,112.662,112.919
11/21/2018,113.048,113.182,112.883,112.932
11/20/2018,112.758,113.146,112.642,113.045
11/19/2018,112.546,112.842,112.303,112.743
11/18/2018,112.75,112.877,112.421,112.556
11/15/2018,113.616,113.636,112.642,112.861
11/14/2018,113.605,113.706,113.097,113.621
11/13/2018,113.803,114.007,113.295,113.622
11/12/2018,113.828,114.146,113.58,113.804
11/11/2018,113.767,114.205,113.658,113.831
11/8/2018,114.059,114.071,113.636,113.819
11/7/2018,113.488,114.087,113.473,114.049
11/6/2018,113.423,113.816,112.944,113.555
11/5/2018,113.186,113.505,113.1,113.451
11/4/2018,113.156,113.34,113.076,113.196
11/1/2018,112.692,113.321,112.556,113.206
10/31/2018,112.934,113.005,112.607,112.695
10/30/2018,113.111,113.385,112.805,112.983
10/29/2018,112.355,113.087,112.304,113.082
10/28/2018,111.856,112.562,111.773,112.373
10/25/2018,112.408,112.442,111.375,111.89
10/24/2018,112.247,112.673,111.818,112.392
10/23/2018,112.44,112.743,112.088,112.25
10/22/2018,112.82,112.841,111.954,112.444
10/21/2018,112.572,112.888,112.351,112.821
10/18/2018,112.192,112.645,112.139,112.54
10/17/2018,112.644,112.731,111.95,112.192
10/16/2018,112.251,112.676,112.016,112.661
10/15/2018,111.766,112.339,111.733,112.248
10/14/2018,112.136,112.234,111.624,111.772
10/11/2018,112.153,112.495,111.878,112.212
10/10/2018,112.267,112.533,111.826,112.163
10/9/2018,112.954,113.288,112.256,112.256
10/8/2018,113.228,113.391,112.868,112.952
10/7/2018,113.759,113.939,112.819,113.23
10/4/2018,113.879,114.103,113.56,113.701
10/3/2018,114.532,114.549,113.632,113.942
10/2/2018,113.636,114.541,113.524,114.539
10/1/2018,113.908,114.017,113.529,113.681
9/30/2018,113.707,114.059,113.697,113.975
9/27/2018,113.353,113.708,113.303,113.687
9/26/2018,112.712,113.469,112.561,113.405
9/25/2018,112.97,113.133,112.629,112.74
9/24/2018,112.766,112.98,112.741,112.975
9/23/2018,112.4,112.839,112.4,112.812
9/20/2018,112.479,112.873,112.425,112.558
9/19/2018,112.259,112.584,112.042,112.495
9/18/2018,112.351,112.443,112.158,112.302
9/17/2018,111.835,112.386,111.661,112.359
9/16/2018,112.01,112.122,111.761,111.858
9/13/2018,111.919,112.168,111.753,112.042
9/12/2018,111.249,112,111.16,111.924
9/11/2018,111.621,111.651,111.114,111.255
9/10/2018,111.103,111.639,111.06,111.59
9/9/2018,111.023,111.245,110.847,111.119
9/6/2018,110.744,111.247,110.379,111.034
9/5/2018,111.525,111.533,110.522,110.729
9/4/2018,111.347,111.757,111.311,111.529
9/3/2018,111.017,111.532,110.9,111.478
9/2/2018,111.054,111.19,110.852,111.11
8/30/2018,110.964,111.134,110.685,111.104
8/29/2018,111.677,111.756,110.954,111.024
8/28/2018,111.188,111.826,111.121,111.678
8/27/2018,111.067,111.353,110.953,111.193
8/26/2018,111.314,111.349,110.937,111.077
8/23/2018,111.263,111.485,111.1,111.252
8/22/2018,110.545,111.318,110.52,111.295
8/21/2018,110.272,110.618,110.029,110.554
8/20/2018,110.065,110.547,109.773,110.268
8/19/2018,110.586,110.686,110.02,110.075
8/16/2018,110.884,111.05,110.313,110.516
8/15/2018,110.735,111.121,110.456,110.895
8/14/2018,111.136,111.43,110.43,110.739
8/13/2018,110.658,111.313,110.587,111.145
8/12/2018,110.426,110.939,110.108,110.717
8/9/2018,111.061,111.172,110.511,110.89
8/8/2018,110.96,111.18,110.704,111.081
8/7/2018,111.371,111.442,110.839,110.954
8/6/2018,111.399,111.476,110.989,111.375
8/5/2018,111.212,111.525,111.149,111.398
8/2/2018,111.639,111.877,111.101,111.271
8/1/2018,111.72,111.739,111.318,111.645
7/31/2018,111.816,112.151,111.389,111.713
7/30/2018,111.006,111.958,110.727,111.864
7/29/2018,110.929,111.168,110.892,111.064
7/26/2018,111.22,111.255,110.797,111.005
7/25/2018,110.967,111.249,110.588,111.23
7/24/2018,111.189,111.385,110.667,110.964
7/23/2018,111.33,111.512,110.959,111.204
7/22/2018,111.375,111.544,110.751,111.353
7/19/2018,112.455,112.621,111.379,111.44
7/18/2018,112.852,113.18,112.055,112.466
7/17/2018,112.859,113.138,112.709,112.842
7/16/2018,112.277,112.925,112.221,112.88
7/15/2018,112.21,112.564,112.189,112.277
7/12/2018,112.528,112.799,112.273,112.363
7/11/2018,111.987,112.624,111.911,112.521
7/10/2018,110.983,112.173,110.763,111.997
7/9/2018,110.846,111.353,110.758,111.047
7/8/2018,110.374,110.902,110.339,110.842
7/5/2018,110.582,110.79,110.383,110.48
7/4/2018,110.449,110.729,110.291,110.66
7/3/2018,110.578,110.609,110.279,110.492
7/2/2018,110.892,111.132,110.505,110.571
7/1/2018,110.608,111.063,110.554,110.886
6/28/2018,110.474,110.942,110.373,110.699
6/27/2018,110.244,110.649,109.965,110.493
6/26/2018,110.024,110.492,109.687,110.271
6/25/2018,109.758,110.219,109.37,110.025
6/24/2018,109.839,110.045,109.366,109.759
6/21/2018,109.977,110.217,109.801,109.985
6/20/2018,110.356,110.76,109.843,109.969
6/19/2018,110.049,110.45,109.852,110.354
6/18/2018,110.541,110.577,109.553,110.061
6/17/2018,110.664,110.733,110.299,110.547
6/14/2018,110.619,110.904,110.387,110.664
6/13/2018,110.327,110.693,109.916,110.623
6/12/2018,110.357,110.846,110.269,110.341
6/11/2018,110.031,110.492,109.952,110.37
6/10/2018,109.287,110.117,109.279,110.032
6/7/2018,109.689,109.852,109.198,109.537
6/6/2018,110.174,110.219,109.473,109.696
6/5/2018,109.779,110.267,109.777,110.188
6/4/2018,109.814,110.006,109.473,109.795
6/3/2018,109.452,109.856,109.373,109.818
5/31/2018,108.802,109.732,108.72,109.505
5/30/2018,108.904,109.004,108.386,108.809
5/29/2018,108.755,109.075,108.353,108.902
5/28/2018,109.4,109.469,108.115,108.77
5/27/2018,109.742,109.832,109.236,109.411
5/24/2018,109.241,109.744,109.059,109.444
5/23/2018,110.071,110.092,108.956,109.25
5/22/2018,110.891,110.919,109.556,110.081
5/21/2018,111.034,111.185,110.796,110.896
5/20/2018,110.871,111.396,110.822,111.044
5/17/2018,110.747,111.083,110.609,110.765
5/16/2018,110.389,110.856,110.069,110.77
5/15/2018,110.34,110.402,110.039,110.402
5/14/2018,109.645,110.456,109.645,110.353
5/13/2018,109.334,109.671,109.208,109.644
5/10/2018,109.389,109.566,109.149,109.364
5/9/2018,109.741,110.019,109.317,109.393
5/8/2018,109.121,109.833,108.996,109.743
5/7/2018,109.088,109.352,108.828,109.135
5/6/2018,109.109,109.395,108.755,109.089
5/3/2018,109.186,109.272,108.646,109.059
5/2/2018,109.831,109.917,108.929,109.195
5/1/2018,109.858,110.036,109.595,109.848
4/30/2018,109.332,109.886,109.232,109.859
4/29/2018,109.064,109.455,109.023,109.327
4/26/2018,109.289,109.536,108.954,109.079
4/25/2018,109.42,109.47,109.066,109.303
4/24/2018,108.814,109.456,108.787,109.427
4/23/2018,108.698,109.2,108.541,108.81
4/22/2018,107.786,108.755,107.664,108.703
4/19/2018,107.358,107.858,107.357,107.643
4/18/2018,107.225,107.513,107.179,107.367
4/17/2018,107.002,107.388,106.987,107.228
4/16/2018,107.107,107.211,106.881,107.006
4/15/2018,107.494,107.606,107.034,107.112
4/12/2018,107.314,107.78,107.205,107.344
4/11/2018,106.784,107.43,106.7,107.348
4/10/2018,107.192,107.248,106.647,106.788
4/9/2018,106.772,107.401,106.62,107.202
4/8/2018,106.963,107.204,106.617,106.748
4/5/2018,107.381,107.461,106.776,106.942
4/4/2018,106.762,107.492,106.71,107.384
4/3/2018,106.608,106.849,105.991,106.774
4/2/2018,105.875,106.656,105.691,106.603
4/1/2018,106.168,106.45,105.658,105.903
3/29/2018,106.421,106.537,106.122,106.269
3/28/2018,106.835,106.936,106.269,106.43
3/27/2018,105.328,107.013,105.326,106.853
3/26/2018,105.402,105.904,105.324,105.33
3/25/2018,104.654,105.478,104.628,105.396
3/22/2018,105.275,105.404,104.636,104.719
3/21/2018,106.048,106.086,105.261,105.28
3/20/2018,106.537,106.642,105.882,106.046
3/19/2018,106.089,106.609,105.93,106.537
3/18/2018,105.909,106.307,105.678,106.096
3/15/2018,106.34,106.378,105.604,106.013
3/14/2018,106.32,106.416,105.787,106.343
3/13/2018,106.571,106.75,106.065,106.326
3/12/2018,106.411,107.296,106.256,106.579
3/11/2018,106.652,106.976,106.318,106.415
3/8/2018,106.197,107.055,106.156,106.805
3/7/2018,106.067,106.317,105.893,106.199
3/6/2018,106.122,106.22,105.453,106.059
3/5/2018,106.193,106.466,105.853,106.119
3/4/2018,105.446,106.24,105.352,106.199
3/1/2018,106.224,106.298,105.248,105.723
2/28/2018,106.668,107.202,106.161,106.237
2/27/2018,107.32,107.524,106.562,106.68
2/26/2018,106.904,107.674,106.782,107.324
2/25/2018,107.18,107.18,106.377,106.951
2/22/2018,106.747,107.135,106.513,106.855
2/21/2018,107.772,107.773,106.595,106.752
2/20/2018,107.324,107.906,107.279,107.778
2/19/2018,106.589,107.38,106.562,107.325
2/18/2018,106.327,106.727,106.093,106.585
2/15/2018,106.117,106.4,105.547,106.29
2/14/2018,106.996,107.008,106.036,106.148
2/13/2018,107.816,107.901,106.719,107.014
2/12/2018,108.652,108.779,107.407,107.814
2/11/2018,108.841,108.885,108.435,108.658
2/8/2018,108.732,109.308,108.044,108.802
2/7/2018,109.317,109.781,108.578,108.752
2/6/2018,109.551,109.709,108.918,109.333
2/5/2018,109.079,109.65,108.453,109.556
2/4/2018,110.176,110.287,108.987,109.143
2/1/2018,109.405,110.482,109.277,110.171
1/31/2018,109.177,109.748,109.092,109.4
1/30/2018,108.771,109.444,108.593,109.18
1/29/2018,108.948,109.206,108.414,108.781
1/28/2018,108.7,109.203,108.508,108.958
1/25/2018,109.408,109.772,108.283,108.645
1/24/2018,109.216,109.706,108.502,109.412
1/23/2018,110.302,110.333,108.965,109.218
1/22/2018,110.909,111.176,110.249,110.287
1/21/2018,110.564,111.221,110.498,110.931
1/18/2018,111.095,111.131,110.491,110.82
1/17/2018,111.277,111.48,110.69,111.101
1/16/2018,110.447,111.344,110.191,111.3
1/15/2018,110.53,110.984,110.247,110.473
1/14/2018,111.076,111.185,110.33,110.528
1/11/2018,111.255,111.694,110.911,111.039
1/10/2018,111.431,111.877,111.046,111.269
1/9/2018,112.643,112.784,111.268,111.429
1/8/2018,113.088,113.179,112.366,112.648
1/7/2018,113.125,113.386,112.88,113.089
1/4/2018,112.742,113.308,112.716,113.054
1/3/2018,112.505,112.866,112.462,112.751
1/2/2018,112.277,112.611,112.173,112.511
1/1/2018,112.576,112.79,112.053,112.285
